customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
6977-FLLG,Female,0,No,Yes,59,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,86.96,5175.95,Yes
5374-WVUC,Female,0,No,No,17,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),66.31,1106.35,Yes
3803-RXHF,Female,1,No,No,66,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),72.6,4841.57,Yes
8573-MIUW,Male,0,Yes,Yes,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,50.71,773.35,No
4598-VKYY,Female,1,No,No,33,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,102.34,3343.62,Yes
1916-HBZK,Male,0,No,Yes,29,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),118.7,3445.94,No
7572-ICGS,Female,0,Yes,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,49.63,930.67,Yes
6155-GUPM,Female,1,No,Yes,8,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,No,Mailed check,90.47,711.11,No
8517-EIEH,Female,0,No,No,39,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),35.45,1371.17,Yes
9830-IXSN,Female,0,No,No,43,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),92.86,3963.27,No
7543-LHEQ,Female,0,No,Yes,58,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,61.55,3569.91,No
9085-CYBD,Female,0,No,No,24,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),79.08,1869.85,No
3504-UFZV,Female,0,No,Yes,70,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Credit card (automatic),42.12,2921.96,No
7916-TCMM,Female,0,No,No,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,103.84,5415.83,Yes
8668-QIRA,Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,35.67,1641.02,No
2876-VRYI,Male,0,Yes,Yes,70,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,111.57,7830.97,Yes
6573-DJNF,Female,0,No,No,52,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),24.41,1290.17,No
8433-AXXI,Female,0,Yes,Yes,48,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,One year,Yes,Credit card (automatic),47.19,2313.2,No
9201-YFQD,Female,0,No,No,42,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),74.83,3093.24,No
5889-UQTG,Male,0,Yes,No,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,104.53,1883.28,Yes
3504-LYFR,Female,1,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),76.24,4934.89,Yes
9689-ATKP,Male,0,Yes,No,33,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),39.97,1337.3,No
1319-DLZJ,Male,1,No,No,72,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),104.58,7546.9,No
4923-BHSC,Male,0,Yes,No,53,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,78.16,4189.96,Yes
2403-XPCY,Male,0,Yes,No,0,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),41.6, ,Yes
9727-YEEV,Male,0,No,Yes,54,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),74.72,3988.23,No
8787-RFIQ,Female,0,No,No,14,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),86.12,1169.01,No
7932-GRYX,Female,0,Yes,Yes,14,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),86.64,1244.29,No
4295-WJMV,Female,0,Yes,Yes,22,No,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),91.01,2005.08,Yes
7118-OQOD,Female,0,No,No,65,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),108.27,7074.25,No
5061-HCKA,Female,1,Yes,No,45,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,101.14,4505.89,No
4770-SHAC,Male,0,No,No,8,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,79.32,656.14,Yes
1964-HCBK,Female,0,Yes,No,65,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),21.48,1397.58,No
2160-QHIV,Female,0,Yes,No,65,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,Yes,Mailed check,93.58,6095.11,No
8953-GREX,Male,0,No,No,17,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),116.23,1986.4,No
8744-HZPZ,Female,0,No,Yes,16,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),48.96,743.59,No
7669-GDDV,Male,0,No,No,71,No,No phone service,DSL,Yes,No,No,Yes,No,No,Two year,No,Mailed check,79.24,5669.28,No
8062-LNNO,Female,1,Yes,No,33,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Credit card (automatic),95.5,3194.36,Yes
1887-VUUD,Male,0,Yes,No,68,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,82.48,5650.53,Yes
1993-MXKZ,Female,0,Yes,No,63,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),110.97,6995.18,Yes
2790-HGGR,Female,0,No,No,43,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),65.82,2805.67,Yes
8350-ENFI,Male,0,Yes,No,28,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),71.7,1965.73,No
8579-HCOZ,Male,0,Yes,No,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),22.09,1390.8,Yes
2604-BURA,Male,0,No,No,15,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,108.72,1679.69,Yes
2528-YHFN,Male,0,Yes,No,51,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,44.61,2274.13,No
8956-PGMB,Male,0,Yes,Yes,1,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,116.58,136.22,Yes
3697-MAMI,Male,0,No,Yes,60,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,38.56,2270.83,Yes
8454-JNWX,Male,0,No,Yes,3,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),43.72,154.65,No
8973-EGJG,Male,0,No,No,51,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Electronic check,66.95,3380.66,No
1958-SXRB,Female,0,No,No,40,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,84.63,3367.35,No
6138-BBSP,Female,0,No,No,51,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),62.54,3140.95,No
9238-QFBQ,Male,1,No,Yes,30,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),53.61,1621.73,No
2312-FCTC,Female,1,No,No,25,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),72.53,1859.05,Yes
4853-MDSH,Female,0,No,No,26,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),114.56,3025.43,No
1651-TCNV,Female,0,No,No,50,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),114.93,5739.07,No
9565-KIGV,Female,0,Yes,No,47,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),51.22,2442.47,No
6147-HIME,Male,0,No,No,10,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,86.61,898.79,Yes
5915-OKYC,Female,1,No,Yes,7,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,90.8,604.33,Yes
1152-OTSD,Male,0,Yes,Yes,11,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,83.92,903.5,Yes
2200-RGQI,Female,1,No,Yes,44,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Two year,Yes,Electronic check,29.61,1332.87,No
3170-LCHL,Female,1,Yes,No,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,72.47,2425.41,No
5669-FORW,Female,0,Yes,Yes,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),94.96,6776.28,Yes
5956-TZUQ,Male,0,No,No,46,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),38.43,1795.25,No
1128-VRJV,Female,0,Yes,No,20,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),53.24,1098.76,Yes
2697-EIDD,Male,1,No,No,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),38.73,1518.6,No
3546-IJTG,Female,0,No,No,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),107.39,2222.38,Yes
6617-GVUI,Male,1,Yes,Yes,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,104.53,2091.24,Yes
9280-PIBC,Female,0,Yes,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,35.25,911.3,Yes
7939-IBAK,Male,0,Yes,No,66,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,94.69,6283.75,Yes
3143-UIFX,Male,1,No,Yes,70,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),54.83,3861.73,Yes
8239-RWNR,Female,0,No,No,13,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Two year,No,Electronic check,87.21,1141.87,Yes
1158-DCWE,Male,0,Yes,No,72,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,67.83,4915.44,No
9938-BLSR,Female,0,No,No,51,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,65.68,3355.98,Yes
3426-NEBJ,Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,One year,No,Mailed check,106.82,4530.05,No
6974-ZBLG,Female,0,Yes,No,70,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),82.26,5716.16,Yes
5088-VDLY,Female,0,Yes,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,41.94,715.36,No
7658-TXEH,Female,1,Yes,Yes,26,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,One year,Yes,Mailed check,29.38,722.09,No
3662-ZZFN,Female,1,Yes,Yes,17,Yes,No,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,112.06,1857.65,No
1406-FXKZ,Female,0,Yes,Yes,12,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,33.67,376.94,Yes
7745-ZVXZ,Female,0,Yes,No,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),92.02, ,No
5065-IFZW,Female,0,Yes,No,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,68.08,2238.69,No
2771-MBPH,Female,0,Yes,No,12,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,No,Mailed check,32.33,346.97,No
4269-OLJZ,Female,1,Yes,No,50,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),96.3,4840.34,No
4728-HAVG,Male,0,Yes,No,0,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),109.15, ,No
7528-KICY,Male,0,No,No,27,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),30.46,832.38,Yes
5573-LUQM,Female,0,No,No,31,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,One year,No,Mailed check,24.99,765.18,No
9785-KADI,Female,0,Yes,Yes,71,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,One year,No,Bank transfer (automatic),103.66,7399.64,Yes
3925-SIBD,Female,0,No,No,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),68.6,3712.24,Yes
8119-LXZK,Female,0,No,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),86.04,2159.98,No
8149-TQDM,Female,0,No,Yes,13,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Two year,No,Credit card (automatic),62.62,860.2,No
4114-IBWN,Female,0,No,No,67,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),59.7,4028.6,No
1027-QZRV,Female,0,No,No,62,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),48.37,3008.34,Yes
4228-LNCV,Female,0,No,Yes,13,Yes,No,DSL,No,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),74.82,975.09,No
6409-TKVD,Male,0,Yes,Yes,26,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Two year,No,Mailed check,34.31,880.14,No
5920-QJVN,Female,0,Yes,Yes,40,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Electronic check,90.33,3603.32,Yes
6344-MWJR,Male,0,No,No,2,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,73.47,145.91,Yes
3085-GNVM,Female,0,No,No,58,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Mailed check,103.43,6024.71,No
3851-TSJM,Female,0,Yes,No,22,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,110.81,2394.23,No
9977-AJJG,Male,0,No,No,17,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,108.76,1878.42,Yes
8043-ZSTU,Female,1,No,No,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,78.67,3114.17,Yes
6279-OOOV,Male,1,No,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),50.28,368.36,Yes
4501-QPZZ,Female,0,No,No,31,Yes,No,DSL,Yes,No,No,No,Yes,Yes,One year,No,Electronic check,54.15,1665.01,No
3780-VCJQ,Female,1,No,No,40,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,83.83,3352.5,No
6491-CYHV,Male,0,Yes,No,44,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),89.8,3906.63,Yes
6085-HZGE,Female,0,Yes,No,8,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),34.46,247.2,Yes
1400-BHPT,Male,0,No,No,47,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Two year,No,Credit card (automatic),118.54,5537.54,No
2193-ONUS,Female,0,Yes,No,23,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),29.05,716.81,Yes
4185-WWMP,Male,0,No,Yes,43,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),79.26,3369.28,Yes
7547-HEUW,Male,0,No,Yes,57,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Two year,Yes,Electronic check,71.62,4113.3,No
1090-YYDY,Female,0,No,No,65,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,No,Mailed check,77.64,5041.8,Yes
7965-HFZW,Female,0,No,Yes,17,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),71.89,1238.91,Yes
9486-OBRH,Male,0,No,No,28,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),24.07,716.17,No
2988-OEZO,Female,1,No,No,1,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),118.34,76.86,Yes
9702-RTKY,Female,0,No,Yes,67,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),116.87,7815.72,Yes
8251-TXQN,Female,0,No,Yes,38,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,No,Mailed check,70.95,2723.4,Yes
9976-OFXP,Male,0,No,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),39.19,2851.72,No
8373-IYHU,Male,0,Yes,Yes,40,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,36.64,1504.56,No
5543-YYQP,Male,0,No,No,70,Yes,No,DSL,No,Yes,No,Yes,No,No,One year,Yes,Electronic check,23.98,1724.39,No
4919-IOCW,Male,0,Yes,No,21,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),79.74,1685.21,Yes
5681-HIKK,Male,0,Yes,No,48,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,66.31,3173.19,Yes
9849-CEEH,Male,0,No,No,27,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),60.09,1587.8,Yes
7275-WEWG,Male,0,Yes,No,15,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),71.03,1037.35,Yes
2052-NNKR,Male,0,No,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),105.97,7129.54,No
8633-NBGN,Male,0,No,No,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),25.36,1544.45,No
7381-YSWA,Female,0,No,No,35,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,72.93,2585.71,No
7232-PALJ,Male,0,No,Yes,21,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),88.7,1909.06,No
7389-NRXX,Female,0,Yes,Yes,10,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),115.8,1170.1,Yes
9947-ZTHP,Female,1,Yes,Yes,41,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,One year,No,Electronic check,92.59,3801.61,Yes
4595-INPA,Female,1,No,Yes,54,No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),73.34,3936.25,Yes
7371-KVVZ,Male,1,Yes,No,72,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),95.31,6855.45,No
7624-XFOE,Male,0,Yes,Yes,34,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Mailed check,118.45,4029.26,Yes
9751-AMSS,Male,0,Yes,No,56,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),107.57,6047.41,Yes
1444-CUNE,Male,0,No,No,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,27.2,930.06,No
8564-FBIM,Female,0,Yes,No,72,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Two year,No,Credit card (automatic),76.02,5473.46,No
6363-GOKK,Male,0,Yes,No,69,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.29,6690.98,Yes
7211-IYNI,Male,0,Yes,Yes,3,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,85.77,239.71,Yes
2341-PAXR,Male,1,No,No,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,60.16,2711.39,No
1853-LHUC,Male,0,Yes,Yes,10,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),50.66,549.09,Yes
1659-YAHG,Male,1,Yes,No,60,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,81.26,4890.63,No
1333-TEHE,Female,0,No,No,34,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),59.69,1992.26,Yes
8758-VDSG,Male,0,Yes,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),57.65,3910.97,No
8619-WIYL,Female,0,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),102.34,5693.71,Yes
3749-TTXW,Male,0,No,No,10,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,49.97,487.45,Yes
2876-YFJD,Female,0,No,Yes,11,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),83.06,945.34,Yes
1420-JSVM,Male,0,No,Yes,42,No,No phone service,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),106.03,4490.89,Yes
7498-WGCS,Male,0,No,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,80.74,1450.31,Yes
4978-DWYJ,Female,0,No,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),67.78,4501.9,Yes
2983-ZSZB,Female,1,Yes,No,58,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),21.8,1241.02,No
6688-RNVL,Female,0,No,Yes,1,No,No phone service,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Electronic check,86.75,104.47,Yes
2129-QUKA,Male,1,Yes,No,7,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Mailed check,118.5,876.87,Yes
7882-PDNL,Female,0,Yes,No,21,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,No,Electronic check,99.5,2089.72,No
8532-WENF,Male,0,No,No,20,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,82.01,1638.6,No
