gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
1,-0.4258109850252005,0,0,1.0105820448825575,1,0,-0.9113333162170355,-0.03577350289289565,0,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True
0,-0.4258109850252005,0,1,1.1062934305855188,1,1,0.6431239066414499,1.4678760580257166,1,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
0,-0.4258109850252005,0,0,-0.9036456691766651,1,1,-0.07067510719060964,-0.7240373196936931,1,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False
0,2.348459845254621,0,0,1.4412832805458826,1,1,0.1467484180880175,1.2877767865391292,1,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False
1,-0.4258109850252005,1,1,-0.9515013620281456,1,1,-0.6099131031121657,-0.9033933140864009,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True
0,2.348459845254621,0,0,-0.13795458355297602,1,1,1.1747572641589843,0.48097104539631674,1,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True
1,-0.4258109850252005,0,1,-0.3293773549588983,1,1,1.7097020960360878,0.5360812716613674,0,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False
0,-0.4258109850252005,1,0,-0.8557899763251845,1,1,-0.6472449643682734,-0.8186597253841161,1,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False
0,2.348459845254621,0,1,-1.3343469048399903,1,0,0.7644524557238002,-0.9369161882335543,0,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True
0,-0.4258109850252005,0,0,0.14917957355590739,1,0,-1.137398476045688,-0.5814035225913601,1,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False
0,-0.4258109850252005,0,0,0.3406023449618296,1,1,0.8470664820220386,0.8147186187459905,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False
0,-0.4258109850252005,0,1,1.0584377377340382,1,1,-0.23521182902308463,0.6028523305948928,0,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False
0,-0.4258109850252005,0,0,-0.5686558192163012,1,1,0.370739585624664,-0.3128111884059082,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False
0,-0.4258109850252005,0,1,1.6327060519518048,1,0,-0.9068396662510227,0.25386219075478783,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False
0,-0.4258109850252005,0,0,0.7713035806251547,1,1,1.226607071459134,1.5970770067792386,1,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
1,-0.4258109850252005,1,0,0.5320251163677518,1,1,-1.129793837641666,-0.4360605343424947,0,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False
1,-0.4258109850252005,1,1,1.6327060519518048,1,1,1.4938064117459047,2.672018666883333,1,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
0,-0.4258109850252005,0,0,0.7713035806251547,1,1,-1.5190130577747893,-0.6250306563625593,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
0,-0.4258109850252005,1,1,0.5798808092192325,1,1,-0.731587317576517,-0.07401995683231372,0,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,True,False,False
0,-0.4258109850252005,0,0,0.29274665211034906,0,1,0.2238317982742401,0.3461147274502321,0,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False
1,-0.4258109850252005,1,0,-0.8557899763251845,1,0,1.2504579828172027,-0.3055777019053254,1,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True
0,2.348459845254621,0,0,1.393427587694402,1,1,0.27257061713638064,1.3380395534962692,1,False,True,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False
1,-0.4258109850252005,1,0,-0.13795458355297602,0,1,-0.9811577233812372,-0.5996461277867986,0,True,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
1,2.348459845254621,0,0,1.728417437654766,1,1,1.2521863097272077,2.672018666883333,0,False,True,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False
1,-0.4258109850252005,1,0,0.8191592734766353,1,1,0.3389383704805722,0.9368153465804738,1,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
1,-0.4258109850252005,1,0,-1.7171924476518348,1,1,-0.9248142661150744,-1.2975186861490553,1,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False,False,False
1,-0.4258109850252005,0,1,0.8670149663281159,1,1,0.22002947907222914,0.8281622392265972,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False
0,-0.4258109850252005,0,0,-1.0472127477311068,0,1,0.6140880145533665,-0.690288230778837,0,True,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False
0,-0.4258109850252005,1,1,-1.0472127477311068,0,0,0.6320626144174182,-0.6497419267011102,0,True,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
0,-0.4258109850252005,1,1,-0.6643672049192623,0,1,0.7831183863518543,-0.2399754192715963,1,True,False,True,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False
0,-0.4258109850252005,0,0,1.393427587694402,0,1,1.3797368356855757,2.4903129473821046,0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False
0,2.348459845254621,1,0,0.4363137306647908,1,0,1.1332774183188645,1.1069773264858438,0,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
1,-0.4258109850252005,0,0,-1.3343469048399903,1,0,0.3790355547926878,-0.9665233924730954,1,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True
0,-0.4258109850252005,1,0,1.393427587694402,1,0,-1.6202930147010812,-0.5671789225555902,0,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False
0,-0.4258109850252005,1,0,1.393427587694402,1,1,0.8719543895261104,1.9629416910767714,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
1,-0.4258109850252005,0,0,-0.9036456691766651,1,1,1.65488647975837,-0.25003659036846043,0,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False
0,-0.4258109850252005,0,1,-0.9515013620281456,1,1,-0.6704045449623404,-0.9194222461978931,0,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
1,-0.4258109850252005,0,0,1.6805617448032855,0,0,0.37627023173667984,1.7335868469559104,0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True
0,2.348459845254621,1,0,-0.13795458355297602,1,1,0.9383221428703019,0.40057862580756143,1,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False
1,-0.4258109850252005,1,0,1.5369946662488438,1,1,0.48826581550500336,1.7234879733977624,1,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False
0,-0.4258109850252005,1,0,1.297716201991441,1,0,1.4730664888258451,2.4477253243291575,1,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
0,-0.4258109850252005,0,0,0.3406023449618296,1,0,-0.08761271090865883,0.19122763043067978,1,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False
1,-0.4258109850252005,1,0,-0.37723304781037886,1,0,0.11563853370792804,-0.2611695885789628,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1,-0.4258109850252005,1,0,1.2020048162884798,1,0,-1.5992074263990206,-0.5708306752342165,1,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False
1,-0.4258109850252005,0,0,-0.9993570548796262,1,0,1.3952917778756206,-0.4152326175161703,1,False,True,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False
1,-0.4258109850252005,1,0,0.7234478877736742,1,1,-0.8207689861327743,-0.09506331629454508,0,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
1,-0.4258109850252005,1,1,-1.6693367548003542,1,1,1.6669847681284047,-1.2465557306252175,1,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False
1,-0.4258109850252005,0,1,1.1541491234369992,1,1,-1.0298965422433777,-0.0968407180407792,1,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True
1,-0.4258109850252005,0,1,-1.573625369097393,1,1,-0.8515332051308631,-1.236629211175795,0,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False
1,-0.4258109850252005,0,0,0.7234478877736742,1,1,-0.048552522742545776,0.5009210334813194,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False
0,-0.4258109850252005,0,0,0.19703526640738794,1,1,0.5625838726352176,0.4937521797715088,0,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
0,-0.4258109850252005,0,0,0.7234478877736742,0,1,-0.2009909562049858,0.3718116478480582,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1,2.348459845254621,0,1,-0.28152166210741775,1,0,-0.5096701423318766,-0.4464502554591173,0,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
0,2.348459845254621,0,0,-0.5208001263648205,0,0,0.14432876041401077,-0.3186281395754014,1,True,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False
0,-0.4258109850252005,0,0,-0.47294443351334,1,0,1.5971603609642033,0.3095918145980714,0,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False
0,-0.4258109850252005,0,0,0.6755921949221936,0,1,1.6099499800982404,1.7711762008558116,0,True,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False
0,-0.4258109850252005,1,0,0.5320251163677518,1,0,-0.592284168630115,-0.0043942829730184395,0,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False
1,-0.4258109850252005,0,0,-1.238635519137029,1,1,0.6310256182714151,-0.8358305034659166,1,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False
0,2.348459845254621,0,1,-1.3822025976914707,1,1,0.775859413329833,-0.9944285998889698,1,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False,True,False
1,-0.4258109850252005,1,1,-1.1907798262855485,1,0,0.5380416305131469,-0.8332936664281098,1,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
0,2.348459845254621,0,1,0.38845803781331023,1,1,-1.3392670591342706,-0.6020321549794704,0,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False
0,2.348459845254621,1,0,-0.13795458355297602,1,0,0.1422547681220047,-0.013582911394458634,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
0,-0.4258109850252005,1,1,1.6805617448032855,1,1,0.9196562122422479,2.329824341828966,1,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False
1,-0.4258109850252005,0,0,0.48416942351627135,1,0,-1.0343901922093908,-0.35299124000259285,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False
0,-0.4258109850252005,1,0,-0.7600785906222234,1,1,-0.5224597614659133,-0.7281253437100313,1,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
1,2.348459845254621,0,0,0.19703526640738794,1,1,-1.0240202307493609,-0.50199675306188,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False
0,-0.4258109850252005,0,0,-0.7122228977707429,1,1,1.349318282069488,-0.12293620731503344,1,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False
1,2.348459845254621,1,1,-0.7600785906222234,1,1,1.2504579828172027,-0.19356907549719488,1,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False
0,-0.4258109850252005,1,0,-0.4250887406618594,1,1,-1.144311783685708,-0.8290925350279202,1,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
1,-0.4258109850252005,1,0,1.4412832805458826,1,1,0.9103232469282211,2.0645444381705866,1,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True
1,2.348459845254621,0,1,1.6327060519518048,1,1,-0.4674989657277549,0.7600285056209589,1,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,True,False,False,False,False
0,-0.4258109850252005,0,0,-1.0950684405825875,1,0,0.6517655411914748,-0.7049060136251376,1,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False
1,-0.4258109850252005,1,0,1.728417437654766,1,1,-0.018133969126458156,1.3275636553252832,0,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True
0,-0.4258109850252005,0,0,0.7234478877736742,1,1,-0.09245202625667231,0.48762822284584795,1,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True
0,-0.4258109850252005,0,0,0.29274665211034906,1,0,1.3296153552954308,1.119990061694636,0,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True
0,-0.4258109850252005,1,0,1.6327060519518048,1,1,0.48066117710098144,1.7588367238842293,1,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
0,-0.4258109850252005,1,0,-0.8557899763251845,1,1,-0.9130616431270406,-0.9346271102270408,0,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
0,2.348459845254621,1,1,-0.47294443351334,1,1,-1.3472173629202937,-0.9310022878779028,0,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,False,False,True
0,2.348459845254621,1,1,-0.9036456691766651,1,1,1.510744015463954,-0.3193821888010764,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,True,False
0,-0.4258109850252005,1,1,-1.1429241334340678,1,0,-1.1989269140418655,-1.1169023523362906,1,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True
0,-0.4258109850252005,1,0,-1.7171924476518348,1,1,0.8180305899339547,-1.270362141892958,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False
0,-0.4258109850252005,1,0,-0.13795458355297602,1,0,-0.009492334576433217,-0.11415153383591917,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False
0,-0.4258109850252005,1,0,-1.1429241334340678,1,0,-1.2452460752299992,-1.1330443918316342,0,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True
0,2.348459845254621,1,0,0.6755921949221936,1,0,0.9659753734303816,1.2871143004337149,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
1,-0.4258109850252005,1,0,-1.7171924476518348,0,0,1.4101553893016638,-1.2611358110102342,0,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False
1,-0.4258109850252005,0,0,-0.4250887406618594,1,1,-1.3098855016641857,-0.8715993670924022,1,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False
0,-0.4258109850252005,0,0,-0.23366596925593716,1,0,-1.4989644656187315,-0.9077937299248046,0,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True
0,-0.4258109850252005,1,1,1.6805617448032855,1,0,1.2203850945831158,2.665570145626679,1,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False
0,-0.4258109850252005,0,0,0.8670149663281159,1,1,0.008482265287618515,0.6795122065165567,1,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False
0,-0.4258109850252005,0,0,-0.5208001263648205,1,0,0.6113226914973585,-0.1565452585165499,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False
0,-0.4258109850252005,0,1,-1.0950684405825875,1,0,-0.19822563314897787,-0.8566153317650594,0,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,True,True,False,False
0,-0.4258109850252005,0,0,1.4891389733973632,1,0,-0.29915992469326896,0.8499057872555268,0,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False
0,-0.4258109850252005,0,0,1.2498605091399604,1,1,-0.6907988025003993,0.30038702797893835,1,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False
0,-0.4258109850252005,0,1,-1.0950684405825875,1,1,0.22348613289223893,-0.7947348206666264,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
1,-0.4258109850252005,1,1,-0.47294443351334,1,0,-1.1768043295938015,-0.8458755163650878,0,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
0,-0.4258109850252005,1,1,0.19703526640738794,1,1,0.7596131403757862,0.6208471767590382,1,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
1,-0.4258109850252005,0,0,-1.6214810619488735,1,0,0.17682130632210444,-1.2413366327703665,1,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True
0,-0.4258109850252005,0,0,1.0584377377340382,1,1,1.2124347907970932,1.925023787157112,0,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True
0,-0.4258109850252005,1,0,-0.6643672049192623,1,1,1.4675358427138292,-0.03037666486342139,0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True
1,-0.4258109850252005,0,0,-0.9036456691766651,1,0,1.3966744394036248,-0.3081953299315973,1,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False
0,2.348459845254621,0,0,0.19703526640738794,1,0,0.35656730496262323,0.3573877633740742,1,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False
1,2.348459845254621,0,0,-1.3822025976914707,1,0,-0.6247767145382086,-1.121523596876499,1,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False
0,-0.4258109850252005,0,0,-0.23366596925593716,1,0,-0.4910042117038227,-0.423139362253963,0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False
0,2.348459845254621,0,0,0.19703526640738794,1,1,0.5349306420751379,0.48575387191345565,0,False,False,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True
1,-0.4258109850252005,1,0,0.38845803781331023,0,1,0.7412928751297333,0.7842119415015373,1,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
0,-0.4258109850252005,1,0,-1.3343469048399903,0,1,-1.1716193488637867,-1.186781171292777,1,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
1,-0.4258109850252005,0,0,0.5320251163677518,1,0,1.7097020960360878,1.6626308148198885,0,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,True,True,False,False
0,-0.4258109850252005,1,0,-0.6165115120677817,1,0,-1.3586243205263264,-0.9338461306718774,1,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False
1,-0.4258109850252005,0,1,0.3406023449618296,1,1,0.3769615625006822,0.49479169048976096,1,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False
1,-0.4258109850252005,0,1,1.0105820448825575,1,1,0.11287321065192012,0.8955257654088674,0,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False
0,-0.4258109850252005,0,0,1.393427587694402,1,0,0.3209637706165205,1.3956219840083544,1,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True
0,-0.4258109850252005,0,1,-0.9036456691766651,1,1,0.1222061759659469,-0.6526396301540613,1,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
1,-0.4258109850252005,0,0,-0.37723304781037886,1,1,-1.5307656807628232,-0.9341908388893289,0,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
0,2.348459845254621,0,0,-1.6693367548003542,1,1,1.7097020960360878,-1.2785274177938393,1,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
0,-0.4258109850252005,0,1,1.4891389733973632,1,1,1.6770090642064337,2.672018666883333,1,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,True,False,False
0,-0.4258109850252005,0,1,0.1013238807044268,1,0,0.08971363005785322,0.1469164662904754,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True
1,-0.4258109850252005,0,1,1.728417437654766,1,1,-1.008119623177315,0.21603046388949101,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
1,-0.4258109850252005,1,1,0.19703526640738794,1,0,-1.0962642955875692,-0.5095587895822211,0,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
1,-0.4258109850252005,0,0,1.6327060519518048,1,1,-1.5338766692008319,-0.39115690295354555,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False
1,-0.4258109850252005,1,0,-0.7122228977707429,1,1,0.39355350083672974,-0.41225950914065157,1,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False
1,-0.4258109850252005,1,0,0.5798808092192325,1,1,-0.07067510719060964,0.38917632430217514,1,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
1,-0.4258109850252005,0,0,-0.4250887406618594,1,1,-0.28567897479523,-0.4647251770499419,1,False,True,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
1,-0.4258109850252005,1,0,-0.9993570548796262,1,1,0.09247895311386115,-0.7612011743876776,1,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False
1,-0.4258109850252005,0,0,1.4891389733973632,1,1,1.3002337978253462,2.5200925057303714,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
1,-0.4258109850252005,0,0,1.2020048162884798,1,0,-1.4861748464846944,-0.4880737727163799,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
0,-0.4258109850252005,0,0,-0.042243197850014895,0,0,0.15815537569405086,0.07275572494533442,0,True,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True
1,-0.4258109850252005,0,1,-0.7122228977707429,1,0,0.7032696831096238,-0.2916924240211092,0,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
0,-0.4258109850252005,1,1,-1.238635519137029,1,1,1.6400228683323268,-0.68970114959599,1,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,False
0,2.348459845254621,1,1,0.2448909592588685,1,0,0.8377335167080118,0.7276474774441133,1,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,True,False
0,2.348459845254621,0,1,0.8670149663281159,0,1,0.17232765635609165,0.8001654686904621,1,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
