customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Predicted_Churn_Risk,Predicted_Churn_Class,Customer_Segment
8956-PGMB,Male,0,Yes,Yes,1,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,116.58,136.22,Yes,0.5775,Yes,New/At Risk (Monitor)
3697-MAMI,Male,0,No,Yes,60,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,38.56,2270.83,Yes,0.6068,Yes,Low/Mid Value (Needs Nurturing)
8454-JNWX,Male,0,No,Yes,3,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),43.72,154.65,No,0.5085,Yes,New/At Risk (Monitor)
8973-EGJG,Male,0,No,No,51,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Electronic check,66.95,3380.66,No,0.406,No,Low/Mid Value (Needs Nurturing)
1958-SXRB,Female,0,No,No,40,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,84.63,3367.35,No,0.594,Yes,High Value (VIP)
6138-BBSP,Female,0,No,No,51,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),62.54,3140.95,No,0.4336,No,Low/Mid Value (Needs Nurturing)
9238-QFBQ,Male,1,No,Yes,30,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),53.61,1621.73,No,0.5811,Yes,Low/Mid Value (Needs Nurturing)
2312-FCTC,Female,1,No,No,25,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),72.53,1859.05,Yes,0.3997,No,New/At Risk (Monitor)
4853-MDSH,Female,0,No,No,26,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),114.56,3025.43,No,0.4086,No,High Value (VIP)
1651-TCNV,Female,0,No,No,50,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),114.93,5739.07,No,0.3547,No,High Value (VIP)
9565-KIGV,Female,0,Yes,No,47,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),51.22,2442.47,No,0.5368,Yes,Low/Mid Value (Needs Nurturing)
6147-HIME,Male,0,No,No,10,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,86.61,898.79,Yes,0.3539,No,New/At Risk (Monitor)
5915-OKYC,Female,1,No,Yes,7,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,90.8,604.33,Yes,0.4052,No,New/At Risk (Monitor)
1152-OTSD,Male,0,Yes,Yes,11,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,83.92,903.5,Yes,0.6734,Yes,New/At Risk (Monitor)
2200-RGQI,Female,1,No,Yes,44,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Two year,Yes,Electronic check,29.61,1332.87,No,0.305,No,Low/Mid Value (Needs Nurturing)
3170-LCHL,Female,1,Yes,No,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,72.47,2425.41,No,0.4195,No,New/At Risk (Monitor)
5669-FORW,Female,0,Yes,Yes,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),94.96,6776.28,Yes,0.37,No,High Value (VIP)
5956-TZUQ,Male,0,No,No,46,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),38.43,1795.25,No,0.2733,No,Low/Mid Value (Needs Nurturing)
1128-VRJV,Female,0,Yes,No,20,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),53.24,1098.76,Yes,0.6256,Yes,New/At Risk (Monitor)
2697-EIDD,Male,1,No,No,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),38.73,1518.6,No,0.2288,No,Low/Mid Value (Needs Nurturing)
3546-IJTG,Female,0,No,No,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),107.39,2222.38,Yes,0.3976,No,New/At Risk (Monitor)
6617-GVUI,Male,1,Yes,Yes,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,104.53,2091.24,Yes,0.2629,No,New/At Risk (Monitor)
9280-PIBC,Female,0,Yes,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,35.25,911.3,Yes,0.429,No,Low/Mid Value (Needs Nurturing)
7939-IBAK,Male,0,Yes,No,66,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,94.69,6283.75,Yes,0.5524,Yes,High Value (VIP)
3143-UIFX,Male,1,No,Yes,70,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),54.83,3861.73,Yes,0.2394,No,Low/Mid Value (Needs Nurturing)
8239-RWNR,Female,0,No,No,13,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Two year,No,Electronic check,87.21,1141.87,Yes,0.3848,No,New/At Risk (Monitor)
1158-DCWE,Male,0,Yes,No,72,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,67.83,4915.44,No,0.5642,Yes,High Value (VIP)
9938-BLSR,Female,0,No,No,51,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,65.68,3355.98,Yes,0.2521,No,Low/Mid Value (Needs Nurturing)
3426-NEBJ,Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,One year,No,Mailed check,106.82,4530.05,No,0.3656,No,High Value (VIP)
6974-ZBLG,Female,0,Yes,No,70,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),82.26,5716.16,Yes,0.2221,No,High Value (VIP)
5088-VDLY,Female,0,Yes,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,41.94,715.36,No,0.6411,Yes,New/At Risk (Monitor)
7658-TXEH,Female,1,Yes,Yes,26,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,One year,Yes,Mailed check,29.38,722.09,No,0.3687,No,Low/Mid Value (Needs Nurturing)
3662-ZZFN,Female,1,Yes,Yes,17,Yes,No,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,112.06,1857.65,No,0.2858,No,New/At Risk (Monitor)
1406-FXKZ,Female,0,Yes,Yes,12,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,33.67,376.94,Yes,0.6272,Yes,New/At Risk (Monitor)
7745-ZVXZ,Female,0,Yes,No,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),92.02, ,No,0.4297,No,New/At Risk (Monitor)
5065-IFZW,Female,0,Yes,No,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,68.08,2238.69,No,0.4235,No,New/At Risk (Monitor)
2771-MBPH,Female,0,Yes,No,12,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,No,Mailed check,32.33,346.97,No,0.5184,Yes,New/At Risk (Monitor)
4269-OLJZ,Female,1,Yes,No,50,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),96.3,4840.34,No,0.2519,No,High Value (VIP)
4728-HAVG,Male,0,Yes,No,0,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),109.15, ,No,0.443,No,New/At Risk (Monitor)
7528-KICY,Male,0,No,No,27,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),30.46,832.38,Yes,0.6017,Yes,Low/Mid Value (Needs Nurturing)
5573-LUQM,Female,0,No,No,31,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,One year,No,Mailed check,24.99,765.18,No,0.3787,No,Low/Mid Value (Needs Nurturing)
9785-KADI,Female,0,Yes,Yes,71,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,One year,No,Bank transfer (automatic),103.66,7399.64,Yes,0.3214,No,High Value (VIP)
3925-SIBD,Female,0,No,No,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),68.6,3712.24,Yes,0.3577,No,High Value (VIP)
8119-LXZK,Female,0,No,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),86.04,2159.98,No,0.4257,No,New/At Risk (Monitor)
8149-TQDM,Female,0,No,Yes,13,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Two year,No,Credit card (automatic),62.62,860.2,No,0.3516,No,New/At Risk (Monitor)
4114-IBWN,Female,0,No,No,67,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),59.7,4028.6,No,0.4892,No,High Value (VIP)
1027-QZRV,Female,0,No,No,62,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),48.37,3008.34,Yes,0.3726,No,Low/Mid Value (Needs Nurturing)
4228-LNCV,Female,0,No,Yes,13,Yes,No,DSL,No,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),74.82,975.09,No,0.2851,No,New/At Risk (Monitor)
6409-TKVD,Male,0,Yes,Yes,26,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Two year,No,Mailed check,34.31,880.14,No,0.4833,No,Low/Mid Value (Needs Nurturing)
5920-QJVN,Female,0,Yes,Yes,40,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Electronic check,90.33,3603.32,Yes,0.4371,No,High Value (VIP)
6344-MWJR,Male,0,No,No,2,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,73.47,145.91,Yes,0.6497,Yes,New/At Risk (Monitor)
3085-GNVM,Female,0,No,No,58,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Mailed check,103.43,6024.71,No,0.263,No,High Value (VIP)
3851-TSJM,Female,0,Yes,No,22,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,110.81,2394.23,No,0.5129,Yes,New/At Risk (Monitor)
9977-AJJG,Male,0,No,No,17,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,108.76,1878.42,Yes,0.6053,Yes,New/At Risk (Monitor)
8043-ZSTU,Female,1,No,No,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,78.67,3114.17,Yes,0.3851,No,High Value (VIP)
6279-OOOV,Male,1,No,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),50.28,368.36,Yes,0.4211,No,New/At Risk (Monitor)
4501-QPZZ,Female,0,No,No,31,Yes,No,DSL,Yes,No,No,No,Yes,Yes,One year,No,Electronic check,54.15,1665.01,No,0.3631,No,Low/Mid Value (Needs Nurturing)
3780-VCJQ,Female,1,No,No,40,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,83.83,3352.5,No,0.482,No,High Value (VIP)
6491-CYHV,Male,0,Yes,No,44,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),89.8,3906.63,Yes,0.4625,No,High Value (VIP)
6085-HZGE,Female,0,Yes,No,8,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),34.46,247.2,Yes,0.4859,No,New/At Risk (Monitor)
1400-BHPT,Male,0,No,No,47,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Two year,No,Credit card (automatic),118.54,5537.54,No,0.3252,No,High Value (VIP)
2193-ONUS,Female,0,Yes,No,23,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),29.05,716.81,Yes,0.2989,No,Low/Mid Value (Needs Nurturing)
4185-WWMP,Male,0,No,Yes,43,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),79.26,3369.28,Yes,0.3884,No,High Value (VIP)
7547-HEUW,Male,0,No,Yes,57,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Two year,Yes,Electronic check,71.62,4113.3,No,0.2701,No,High Value (VIP)
1090-YYDY,Female,0,No,No,65,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,No,Mailed check,77.64,5041.8,Yes,0.3783,No,High Value (VIP)
7965-HFZW,Female,0,No,Yes,17,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),71.89,1238.91,Yes,0.528,Yes,New/At Risk (Monitor)
9486-OBRH,Male,0,No,No,28,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),24.07,716.17,No,0.2885,No,Low/Mid Value (Needs Nurturing)
2988-OEZO,Female,1,No,No,1,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),118.34,76.86,Yes,0.3379,No,New/At Risk (Monitor)
9702-RTKY,Female,0,No,Yes,67,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),116.87,7815.72,Yes,0.4249,No,High Value (VIP)
8251-TXQN,Female,0,No,Yes,38,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,No,Mailed check,70.95,2723.4,Yes,0.4736,No,Low/Mid Value (Needs Nurturing)
9976-OFXP,Male,0,No,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),39.19,2851.72,No,0.2394,No,Low/Mid Value (Needs Nurturing)
8373-IYHU,Male,0,Yes,Yes,40,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,36.64,1504.56,No,0.6532,Yes,Low/Mid Value (Needs Nurturing)
